Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
SABUNI MARAHABA 500g,SOAP,,,PIECES,5,MARAHABA,,,"1,033.33",Tax 18%,18,Inclusive,"1,200.00",23,
SABUNI DOFI 500g,SOAP,,,PIECES,5,DOFI,,,"1,033.33",Tax 18%,18,Inclusive,"1,200.00",27,
OMO 500g,SOAP,,,PIECES,5,OMO,,,"4,083.33",Tax 18%,18,Inclusive,"5,000.00",6,
ARIEL 500g,SOAP,,,PIECES,5,ARIEL,,,"4,083.33",Tax 18%,18,Inclusive,"5,000.00",5,
SABUNI MARAHABA180g,SOAP,,,PIECES,5,MARAHABA,,,425.00,Tax 18%,18,Inclusive,500.00,37,
OMO 200g,SOAP,,,PIECES,5,OMO,,,"1,562.50",Tax 18%,18,Inclusive,"1,562.50",24,
SABUNI DOLPHY 180g,SOAP,,,PIECES,5,NICEONE,,,450.00,Tax 18%,18,Inclusive,500.00,40,
SABUNI NICEONE 400g,SOAP,,,PIECES,5,NICEONE,,,708.33,Tax 18%,18,Inclusive,"1,000.00",21,
SABUNI NICEONE 180g,SOAP,,,PIECES,5,NICEONE,,,450.00,Tax 18%,18,Inclusive,500.00,33,
SABUNI JAMAA & WHITE WASH,SOAP,,,PIECES,5,JAMAA,,,"3,041.67",Tax 18%,18,Inclusive,"3,500.00",16,
SABUNI MAGADI,SOAP,,,PIECES,5,MAGADI,,,"2,583.33",Tax 18%,18,Inclusive,"3,000.00",10,
SABUNI ALOVERA,SOAP,,,PIECES,5,ALOVERA,,,"1,166.67",Tax 18%,18,Inclusive,"1,500.00",12,
SABUNI TETMOSO wakubwa,SOAP,,,PIECES,5,TETMOSO,,,"1,833.33",Tax 18%,18,Inclusive,"2,500.00",12,
SABUNI TETMOSO watoto,SOAP,,,PIECES,5,TETMOSO,,,"1,833.33",Tax 18%,18,Inclusive,"2,500.00",12,
SABUNI PROTEX herbal,SOAP,,,PIECES,5,PROTEX,,,"2,083.33",Tax 18%,18,Inclusive,"2,500.00",12,
SABUNI PROTEX herbal ndogo,SOAP,,,PIECES,5,PROTEX,,,"1,500.00",Tax 18%,18,Inclusive,"2,000.00",12,
SABUNI IMPERIAL ndogo,SOAP,,,PIECES,5,IMPERIAL,,,"1,333.33",Tax 18%,18,Inclusive,"2,500.00",22,
SABUNI IMPERIAL kubwa,SOAP,,,PIECES,5,IMPERIAL,,,"1,916.67",Tax 18%,18,Inclusive,"3,000.00",22,
SABUNI DETOL ORIGINAL 175g,SOAP,,,PIECES,5,DETTOL,,,"2,083.33",Tax 18%,18,Inclusive,"3,000.00",10,
SABUNI DETOL ORIGINAL ndogo,SOAP,,,PIECES,5,DETTOL,,,"1,250.00",Tax 18%,18,Inclusive,"1,500.00",10,
SABUNI Pears,SOAP,,,PIECES,5,PEARS,,,"2,833.33",Tax 18%,18,Inclusive,"3,500.00",12,
SABUNI Life buoy,SOAP,,,PIECES,5,LIFE BUOY,,,"2,166.67",Tax 18%,18,Inclusive,"3,000.00",12,
SABUNI Junior 100g,SOAP,,,PIECES,5,DETTOL,,,"1,333.33",Tax 18%,18,Inclusive,"2,000.00",12,
SABUNI DETOL SKIN CARE 100mg,SOAP,,,PIECES,5,DETTOL,,,"1,333.33",Tax 18%,18,Inclusive,"2,000.00",4,
SABUNI DETOL COOL 100g,SOAP,,,PIECES,5,DETTOL,,,"1,333.33",Tax 18%,18,Inclusive,"2,000.00",5,
SABUNI DRS 80g,SOAP,,,PIECES,5,DRS,,,364.58,Tax 18%,18,Inclusive,500.00,43,
SABUNI MO BEAUTY,SOAP,,,PIECES,5,MO,,,364.58,Tax 18%,18,Inclusive,500.00,12,
SABUNI FAMILY,SOAP,,,PIECES,5,FAMILY,,,364.58,Tax 18%,18,Inclusive,500.00,7,
SABUNI RUNGU ,SOAP,,,PIECES,5,RUNGU,,,364.58,Tax 18%,18,Inclusive,500.00,9,
SABUNN MAGADI vipande,SOAP,,,PIECES,5,MAGADI,,,31.67,Tax 18%,18,Inclusive,100.00,136,
COLGATE HERBAL 175g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"4,583.33",Tax 18%,18,Inclusive,"5,500.00",6,
colgate protection 140g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"3,166.67",Tax 18%,18,Inclusive,"5,000.00",18,
COLGATE 35g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"1,250.00",Tax 18%,18,,"1,500.00",12,
COLGATE HERBAL 70g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"2,250.00",Tax 18%,18,,"3,000.00",12,
COLGATE PROTECTION 15g,PERSONAL CARE ,,,PIECES,5,COLGATE,,,625.00,Tax 18%,18,,"1,000.00",24,
COLGATE PROTECTION 70g,PERSONAL CARE ,,,PIECES,5,COLGATE,,,"2,250.00",Tax 18%,18,,"3,000.00",12,
COLGATE MAX FRESH 125g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"3,166.67",Tax 18%,18,,"4,000.00",11,
COLGATE CHARCOL 120g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"3,916.67",Tax 18%,18,,"5,500.00",10,
COLGATE CHARCOL 35g,PERSONAL CARE,,,PIECES,5,COLGATE,,,"1,250.00",Tax 18%,18,,"1,500.00",12,
WHITEDENT 250g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,"4,166.67",Tax 18%,18,,"4,500.00",6,
WHITEDENT 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,"1,500.00",Tax 18%,18,,"2,000.00",23,
WHITEDENT 80g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,"1,666.67",Tax 18%,18,,"2,000.00",24,
WHITEDENT 20g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,500.00,Tax 18%,18,,700.00,34,
WHITEDENT CHARCOL 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,"2,083.33",Tax 18%,18,,"2,500.00",10,
TOILET PAPER ,PERSONAL CARE,,,PIECES,5,TOILET PAPER ,,,800.00,Tax 18%,18,,"1,000.00",18,
SABUNI DOVE SHOWER 1200ml,PERSONAL CARE,,,PIECES,5,DOVE,,,"10,000.00",Tax 18%,18,,"11,500.00",5,
DETOL SHOWER 1200ml,PERSONAL CARE ,,,PIECES,5,DETTOL,,,"10,000.00",Tax 18%,18,,"11,500.00",2,
OMO BLEACH LEMON,PERSONAL CARE,,,PIECES,5,OMO,,,"4,750.00",Tax 18%,18,,"6,000.00",3,
JIK 750 ml,PERSONAL CARE ,,,PIECES,5,JIK,,,"4,666.67",Tax 18%,18,,"6,000.00",6,
UNGA LISHE DESTENI angels 3kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,"17,500.00",Tax 18%,18,,"21,000.00",1,
UNGA LISHE DESTENI wonders 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,"12,000.00",Tax 18%,18,,"13,000.00",4,
UNGA LISHE DESTENI miracles 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,"9,000.00",Tax 18%,18,,"11,000.00",3,
UNGA LISHE DESTENI familia 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,"6,000.00",Tax 18%,18,,"8,000.00",3,
SABUNI COVEX 115g,PERSONAL CARE,,,PIECES,5,COVEX,,,"1,083.33",Tax 18%,18,,"1,500.00",12,
MSWAKI COLGATE,PERSONAL CARE,,,PIECES,5,COLGATE,,,"1,333.33",Tax 18%,18,,"1,500.00",4,
MSWAKI FRESH DOCTOR,PERSONAL CARE ,,,PIECES,5,FRESH DOCTOR,,,"1,000.00",Tax 18%,18,,"1,500.00",6,
MSWAKI WHITEDENT,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,375.00,Tax 18%,18,,500.00,31,
TOOTH PICK DENTAL FLOSS,PERSONAL CARE,,,PIECES,5,DENTAL FLOSS,,,"1,000.00",Tax 18%,18,,"1,500.00",12,
PAMBA NDOGO,PERSONAL CARE,,,PIECES,5,,,,583.33,Tax 18%,18,,700.00,10,
PAMBA KUBWA,PERSONAL CARE,,,PIECES,5,,,,"1,083.33",Tax 18%,18,,"1,500.00",8,
TOOTH PICK ndogo,PERSONAL CARE,,,PIECES,5,,,,250.00,Tax 18%,18,,500.00,39,
TOOTH PICK kubwa,PERSONAL CARE,,,PIECES,5,,,,750.00,Tax 18%,18,,"1,000.00",35,
WHITEDENT 190g,PERSONAL CARE,,,PIECES,5,,,,"3,333.33",Tax 18%,18,,"4,000.00",6,
VIM ALL PURPOSE CLEANER,SOAP,,,PIECES,5,VIM,,,"2,250.00",Tax 18%,18,,"3,000.00",5,
